world_index,ellipse,marker_type
72,"(560.9039306640625, 394.17449951171875)",Stop
73,"(561.0, 395.0831298828125)",Stop
74,"(560.3724365234375, 395.61688232421875)",Stop
75,"(559.6170043945312, 395.92669677734375)",Stop
76,"(559.5506591796875, 396.2859191894531)",Ref
77,"(559.6171264648438, 396.6171569824219)",Ref
78,"(559.6844482421875, 397.2335510253906)",Ref
79,"(560.140380859375, 397.5)",Ref
80,"(560.5506591796875, 397.7140808105469)",Ref
81,"(561.0667724609375, 397.616455078125)",Ref
82,"(561.423828125, 397.8460998535156)",Ref
83,"(561.3072509765625, 397.54425048828125)",Ref
84,"(561.3558349609375, 397.3558044433594)",Ref
85,"(561.227783203125, 397.33245849609375)",Ref
86,"(561.3558349609375, 397.3558044433594)",Ref
87,"(561.5173950195312, 397.0640563964844)",Ref
88,"(561.7778930664062, 397.03955078125)",Ref
89,"(561.6416625976562, 397.2201232910156)",Ref
90,"(561.6441650390625, 397.3558044433594)",Ref
91,"(561.5442504882812, 397.3072204589844)",Ref
92,"(561.5442504882812, 397.3072204589844)",Ref
93,"(561.4010009765625, 397.5245056152344)",Ref
94,"(561.5, 397.6470947265625)",Ref
95,"(561.6441650390625, 397.3558044433594)",Ref
96,"(562.0, 396.5)",Ref
97,"(562.2340087890625, 396.2676086425781)",Ref
98,"(562.1979370117188, 396.0742492675781)",Ref
99,"(562.2011108398438, 396.0)",Ref
100,"(562.4950561523438, 396.19146728515625)",Ref
101,"(562.6681518554688, 396.4070129394531)",Ref
102,"(563.0555419921875, 396.78887939453125)",Ref
103,"(562.9645385742188, 397.0252990722656)",Ref
104,"(562.5, 397.12420654296875)",Ref
105,"(562.3072509765625, 396.54425048828125)",Ref
106,"(562.01025390625, 396.0566101074219)",Ref
107,"(561.7869262695312, 395.8614807128906)",Ref
108,"(561.714111328125, 395.5506591796875)",Ref
109,"(561.6470947265625, 395.5)",Ref
110,"(561.4046020507812, 395.33099365234375)",Ref
111,"(561.5, 395.26446533203125)",Ref
112,"(561.54150390625, 394.83062744140625)",Ref
113,"(561.8757934570312, 394.5)",Ref
114,"(562.0, 393.5)",Ref
115,"(562.1942749023438, 392.594482421875)",Ref
116,"(562.0, 392.5)",Ref
117,"(561.6927490234375, 392.45574951171875)",Ref
118,"(561.6681518554688, 392.4070129394531)",Ref
119,"(561.714111328125, 392.5506591796875)",Ref
120,"(561.943359375, 393.01025390625)",Ref
121,"(562.3558349609375, 393.3558044433594)",Ref
122,"(562.5, 393.0)",Ref
123,"(562.594482421875, 392.80572509765625)",Ref
124,"(562.5173950195312, 392.9359436035156)",Ref
125,"(562.285888671875, 392.5506591796875)",Ref
126,"(561.6636352539062, 392.2325134277344)",Ref
145,"(269.8402404785156, 244.24661254882812)",Ref
146,"(269.97796630859375, 244.56008911132812)",Ref
147,"(269.8887634277344, 244.63478088378906)",Ref
148,"(269.68768310546875, 244.58590698242188)",Ref
149,"(269.69879150390625, 244.409423828125)",Ref
150,"(269.5918273925781, 244.37176513671875)",Ref
151,"(269.4640197753906, 244.37860107421875)",Ref
152,"(269.4210205078125, 244.2278594970703)",Ref
153,"(269.1615295410156, 244.13302612304688)",Ref
154,"(268.6997985839844, 243.69981384277344)",Ref
155,"(268.65313720703125, 243.69143676757812)",Ref
156,"(268.66461181640625, 243.42816162109375)",Ref
157,"(268.6109924316406, 243.12413024902344)",Ref
158,"(268.6770935058594, 242.82003784179688)",Ref
159,"(268.7735595703125, 242.57142639160156)",Ref
160,"(268.6282653808594, 242.93495178222656)",Ref
161,"(268.5286560058594, 243.37608337402344)",Ref
162,"(268.54510498046875, 243.64601135253906)",Ref
163,"(268.463623046875, 243.91465759277344)",Ref
164,"(268.4473876953125, 243.8534698486328)",Ref
165,"(268.3136291503906, 243.92324829101562)",Ref
166,"(268.3890380859375, 244.0)",Ref
167,"(268.7403869628906, 243.81838989257812)",Ref
168,"(269.33538818359375, 243.57183837890625)",Ref
169,"(269.3828430175781, 243.6171417236328)",Ref
170,"(268.94488525390625, 243.64031982421875)",Ref
171,"(268.4948425292969, 243.76243591308594)",Ref
172,"(268.4432373046875, 243.78659057617188)",Ref
173,"(268.35107421875, 243.78125)",Ref
174,"(268.3183288574219, 243.72210693359375)",Ref
175,"(268.0208435058594, 243.55413818359375)",Ref
176,"(267.859619140625, 243.5)",Ref
177,"(268.1428527832031, 243.1117401123047)",Ref
178,"(268.3890380859375, 243.0)",Ref
179,"(268.6282653808594, 242.93495178222656)",Ref
180,"(268.7018737792969, 242.66452026367188)",Ref
181,"(268.5953674316406, 242.66900634765625)",Ref
182,"(268.463623046875, 242.91465759277344)",Ref
183,"(268.3717346191406, 243.06504821777344)",Ref
184,"(268.140380859375, 243.5)",Ref
185,"(268.09344482421875, 243.54600524902344)",Ref
186,"(267.9259033203125, 243.69569396972656)",Ref
187,"(267.794921875, 243.63079833984375)",Ref
188,"(267.859619140625, 243.5)",Ref
189,"(268.3760681152344, 243.52865600585938)",Ref
190,"(268.838623046875, 243.4479522705078)",Ref
191,"(269.48260498046875, 243.06405639648438)",Ref
192,"(269.5, 243.12420654296875)",Ref
193,"(269.07305908203125, 243.4930419921875)",Ref
194,"(268.5, 244.0)",Ref
195,"(268.3312072753906, 244.11387634277344)",Ref
196,"(268.161376953125, 243.5520477294922)",Ref
197,"(268.0, 243.5)",Ref
198,"(267.71490478515625, 242.8583984375)",Ref
199,"(267.5506591796875, 242.28591918945312)",Ref
200,"(267.3717346191406, 242.06504821777344)",Ref
201,"(267.427490234375, 242.04205322265625)",Ref
202,"(267.7243347167969, 242.40518188476562)",Ref
203,"(268.0, 242.5)",Ref
204,"(267.93267822265625, 242.49424743652344)",Ref
205,"(267.58013916015625, 242.5801544189453)",Ref
206,"(267.10186767578125, 242.474853515625)",Ref
222,"(855.5623168945312, 236.48175048828125)",Ref
223,"(855.368408203125, 236.25634765625)",Ref
224,"(855.1259155273438, 236.06121826171875)",Ref
225,"(855.4150390625, 235.87734985351562)",Ref
226,"(855.6442260742188, 235.8334503173828)",Ref
227,"(855.84765625, 236.22634887695312)",Ref
228,"(855.9266967773438, 236.38299560546875)",Ref
229,"(855.6541137695312, 236.25314331054688)",Ref
230,"(855.423828125, 236.15391540527344)",Ref
231,"(855.4396362304688, 235.95462036132812)",Ref
232,"(855.5, 236.0)",Ref
233,"(855.4826049804688, 235.93594360351562)",Ref
234,"(855.3309936523438, 235.4046173095703)",Ref
235,"(854.8534545898438, 234.5526123046875)",Ref
236,"(854.6215209960938, 234.45266723632812)",Ref
237,"(854.5506591796875, 234.6237030029297)",Ref
238,"(854.8085327148438, 234.50494384765625)",Ref
239,"(855.3558349609375, 234.35581970214844)",Ref
240,"(855.3558349609375, 234.35581970214844)",Ref
241,"(854.9359741210938, 234.4825897216797)",Ref
242,"(854.4473876953125, 234.1465301513672)",Ref
243,"(854.1385498046875, 233.78695678710938)",Ref
244,"(853.8306274414062, 233.54147338867188)",Ref
245,"(853.8757934570312, 233.5)",Ref
246,"(853.9359741210938, 233.4825897216797)",Ref
247,"(853.7869262695312, 233.13851928710938)",Ref
248,"(853.6265258789062, 233.02491760253906)",Ref
249,"(853.817138671875, 232.8525390625)",Ref
250,"(854.3425903320312, 233.15780639648438)",Ref
251,"(854.5753784179688, 233.57537841796875)",Ref
252,"(854.8423461914062, 234.26934814453125)",Ref
253,"(854.5324096679688, 235.0)",Ref
254,"(854.5, 235.6470947265625)",Ref
255,"(854.4526977539062, 235.6215362548828)",Ref
256,"(854.5230712890625, 235.45086669921875)",Ref
257,"(854.4751586914062, 235.5972900390625)",Ref
258,"(854.5173950195312, 235.93594360351562)",Ref
259,"(854.6927490234375, 236.4557647705078)",Ref
260,"(855.0640258789062, 236.5174102783203)",Ref
261,"(855.3072509765625, 236.5442352294922)",Ref
262,"(855.3558349609375, 236.35581970214844)",Ref
263,"(855.0, 236.0)",Ref
264,"(854.6237182617188, 235.55064392089844)",Ref
265,"(854.5, 235.12420654296875)",Ref
266,"(854.610595703125, 234.86766052246094)",Ref
267,"(855.0814819335938, 234.83177185058594)",Ref
268,"(855.147705078125, 234.85227966308594)",Ref
269,"(855.02587890625, 234.84140014648438)",Ref
270,"(854.976806640625, 234.8275909423828)",Ref
271,"(855.2024536132812, 234.6150665283203)",Ref
272,"(855.4557495117188, 234.69277954101562)",Ref
273,"(855.6470947265625, 234.5)",Ref
274,"(855.5442504882812, 234.69277954101562)",Ref
275,"(855.4493408203125, 235.28591918945312)",Ref
276,"(855.1665649414062, 235.35580444335938)",Ref
277,"(854.9442749023438, 234.79002380371094)",Ref
292,"(857.6080322265625, 540.5651245117188)",Ref
293,"(857.8377075195312, 540.382568359375)",Ref
294,"(857.6947021484375, 540.2291259765625)",Ref
295,"(857.5679931640625, 540.2388305664062)",Ref
296,"(857.32958984375, 540.5455932617188)",Ref
297,"(857.0078735351562, 540.6939086914062)",Ref
298,"(857.164794921875, 540.6943359375)",Ref
299,"(857.0730590820312, 540.4930419921875)",Ref
300,"(857.021484375, 540.5663452148438)",Ref
301,"(857.0667724609375, 540.616455078125)",Ref
302,"(857.285888671875, 540.5506591796875)",Ref
303,"(857.5506591796875, 540.285888671875)",Ref
304,"(857.4509887695312, 540.5262451171875)",Ref
305,"(857.0573120117188, 540.80908203125)",Ref
306,"(856.5863647460938, 541.023193359375)",Ref
307,"(856.612548828125, 540.8632202148438)",Ref
308,"(856.8757934570312, 540.5)",Ref
309,"(857.07421875, 540.1979370117188)",Ref
310,"(856.8635864257812, 539.6054077148438)",Ref
311,"(856.5526123046875, 539.1465454101562)",Ref
312,"(856.5753784179688, 538.4246215820312)",Ref
313,"(856.6190795898438, 538.3809204101562)",Ref
314,"(856.6927490234375, 538.5442504882812)",Ref
315,"(856.852294921875, 538.852294921875)",Ref
316,"(856.976806640625, 539.4136352539062)",Ref
317,"(856.559326171875, 539.8888549804688)",Ref
318,"(856.5, 540.7355346679688)",Ref
319,"(856.4557495117188, 541.3072509765625)",Ref
320,"(856.6681518554688, 541.5929565429688)",Ref
321,"(856.5, 542.1242065429688)",Ref
