world_index,gaze_timestamp,gaze,marker,marker_type
927,8714.13292549393,"(514.0885140902544, 413.4823720916439)","(558.164306640625, 248.0)",Stop
927,8714.14398001293,"(512.1611177284574, 412.4815217694459)","(558.164306640625, 248.0)",Stop
927,8714.15688162393,"(515.0955977288339, 413.5209016259815)","(558.164306640625, 248.0)",Stop
928,8714.166161715932,"(514.1088188165901, 411.8632792074664)","(559.0374145507812, 250.583740234375)",Stop
928,8714.177417752931,"(513.4965339166057, 412.30464934502953)","(559.0374145507812, 250.583740234375)",Stop
928,8714.192857197932,"(516.2272128068183, 399.7487764277507)","(559.0374145507812, 250.583740234375)",Stop
929,8714.19982617893,"(526.8535978227605, 333.92042908876886)","(560.5933227539062, 254.2344970703125)",Stop
929,8714.211103808932,"(520.802106959218, 297.1661536386464)","(560.5933227539062, 254.2344970703125)",Stop
929,8714.226050345931,"(520.6367005447754, 298.6942140865684)","(560.5933227539062, 254.2344970703125)",Stop
930,8714.233137456931,"(524.8604259068478, 299.3794946409954)","(561.5, 257.27630615234375)",Stop
930,8714.24433806793,"(523.4952918943886, 297.5366920824866)","(561.5, 257.27630615234375)",Stop
930,8714.25728706793,"(525.3299786526711, 296.5819323158899)","(561.5, 257.27630615234375)",Stop
931,8714.26624888293,"(525.5915170031312, 297.4750766750089)","(561.2763061523438, 259.5)",Ref
931,8714.27748428993,"(529.6596359503516, 295.96950307496417)","(561.2763061523438, 259.5)",Ref
931,8714.292422752931,"(529.0541126038611, 295.2501330634186)","(561.2763061523438, 259.5)",Ref
932,8714.29961110493,"(531.0114790009311, 293.6788522670157)","(560.7291259765625, 263.1673889160156)",Ref
932,8714.31087871593,"(531.5141445151888, 297.49978644222443)","(560.7291259765625, 263.1673889160156)",Ref
932,8714.323932956931,"(531.9795999245722, 296.26495996580286)","(560.7291259765625, 263.1673889160156)",Ref
933,8714.332826660931,"(531.3285106574557, 293.9458823087003)","(560.4742431640625, 267.00933837890625)",Stop
933,8714.344006919931,"(534.171411963138, 296.67053299790115)","(560.4742431640625, 267.00933837890625)",Stop
933,8714.358344012931,"(531.1896715674967, 295.70684786182915)","(560.4742431640625, 267.00933837890625)",Stop
934,8714.366248049932,"(531.5141310714464, 294.9235524906135)","(561.10546875, 270.31292724609375)",Stop
934,8714.37747136393,"(530.5156079869736, 293.7157684153619)","(561.10546875, 270.31292724609375)",Stop
